Designator,Footprint,Quantity,Value,LCSC Part #
ALIMENTACION1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,TB_1X2,
"C1, C6",0805,2,10uF,
"C2, C5",0805,2,100nF,
D1,LED_D5.0mm,1,LED,
ESP32,esp32 38 pin usb-c,1,~,
J1,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,SHARP 1,
J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,BTS-1,
J3,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,SHARP2,
J4,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,SHARP 3,
J5,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,BTS-2,
J6,JST_XH_S10B-XH-A-1_1x10_P2.50mm_Horizontal,1,QTR8A,
J7,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,SHARP 5,
J8,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,SHARP4,
R1,1206,1,240,
STEPDOWN2,STEPDOWN,1,~,
SW1,switch smd,1,SW_DPST_x2,
SW2,Button,1,BOTON,
"TCRT5000-1, TCRT5000-2, TCRT5000-3",JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,3,~,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
